name,state,district,street,lon,lat,formatted,categories,
نيل سيتي بوت,Cairo,Al Ismalia,6th October Bridge,31.22848647,30.04822735,"Nile City Boat, 6th October Bridge, Al-Azbakeya, Cairo, 12344, Egypt","['catering', 'catering.restaurant']",
كافيتيريا ليالي زمان,Giza,District 13,Street 10,30.98830464,30.05312975,"Laialy Zaman Cafe, Street 10, Ash Sheikh Zayed, 12593, Egypt","['catering', 'catering.cafe']",
الباشا,Cairo,Mohamed Mazhar,Al Moseqare Mohamed Abd Al Wahab Street,31.22777615,30.0518473,"Al-Basha, Al Moseqare Mohamed Abd Al Wahab Street, Al-Sabtiyya, 12344, Egypt","['catering', 'catering.restaurant']",
مكسيم,Cairo,Mohamed Mazhar,Al Moseqare Mohamed Abd Al Wahab Street,31.22647274,30.05639555,"Nile Maxime, Al Moseqare Mohamed Abd Al Wahab Street, Al-Sabtiyya, 12344, Egypt","['catering', 'catering.restaurant']",
مكرونة رضة,Cairo,El Dawadin,Mansour Street,31.23975252,30.0435931,"Reda Macaroni, 51A Mansour Street, Abdin, Cairo, 11513, Egypt","['building', 'building.catering', 'catering', 'catering.restaurant', 'vegetarian']",
غران كافي,Cairo,Group 27,Side Abou Khalifa Al Noaaman Street,31.49017149,30.05882395,"Grand Cafe, Side Abou Khalifa Al Noaaman Street, Cairo, 11841, Egypt","['building', 'building.catering', 'catering', 'catering.restaurant']",
عربياتا,Cairo,Group 27,Side Abou Khalifa Al Noaaman Street,31.48998011,30.0591662,"Arabiata, Side Abou Khalifa Al Noaaman Street, Cairo, 11841, Egypt","['building', 'building.catering', 'catering', 'catering.fast_food']",
سيلانترو,Cairo,Group 27,Side Abou Khalifa Al Noaaman Street,31.48976213,30.05918845,"Cilantro, Side Abou Khalifa Al Noaaman Street, Cairo, 11841, Egypt","['building', 'building.catering', 'catering', 'catering.cafe']",
بابا جونز,Cairo,Group 27,Side Abou Khalifa Al Noaaman Street,31.49036857,30.0588261,"Papa John's, Side Abou Khalifa Al Noaaman Street, Cairo, 11841, Egypt","['building', 'building.catering', 'catering', 'catering.fast_food']",
مطعم البحيرة,Cairo,Bab El Wazir and Al Gharib,Royal Palm Promenade,31.26292513,30.0383228,"Lakeside Restaurant, Royal Palm Promenade, Cairo, 11639, Egypt","['building', 'building.catering', 'catering', 'catering.restaurant']",
راندى فو,Giza,Central Residential Area,Al Kafrawi Axis,30.93328201,29.966372,"Rendez vous, Al Kafrawi Axis, 3rd District, 6th of October, 12596, Egypt","['building', 'building.catering', 'catering', 'catering.restaurant']",
بكينج Peking,Cairo,El Maadi El Gadida,Street 257,31.27206985,29.9726085,"بكينج Peking, 29 Street 257, Cairo, 11742, Egypt","['building', 'building.catering', 'building.residential', 'catering', 'catering.restaurant', 'catering.restaurant.chinese']",
الحرية,Cairo,Bab El Louk,Abd Al Salam Aref Street,31.2404598,30.0452259,"Al Horreya Cafe, Abd Al Salam Aref Street, Bab al Luq, Cairo, 11513, Egypt","['catering', 'catering.cafe']",
Beano's Cafe,Cairo,Third Sector,Side Al Tesein Southern Street,31.48784738,30.02609725,"Beano's Cafe, Side Al Tesein Southern Street, Cairo, 11865, Egypt","['building', 'building.catering', 'catering', 'catering.cafe']",[]
سيلانترو,Cairo,Abo El Feda,Abou Al feda Street,31.2157953,30.0647127,"Cilantro, Abou Al feda Street, Al-Sabtiyya, 12653, Egypt","['catering', 'catering.cafe']",
ميزون توما,Cairo,Mohamed Mazhar,26th July Street,31.2241754,30.0591691,"Maison Thomas, 26th July Street, Al-Sabtiyya, 11211, Egypt","['catering', 'catering.restaurant', 'catering.restaurant.french']",
لوبرجين,Cairo,Mohamed Mazhar,Yehya Pasha Ibrahim Street,31.2233358,30.0603186,"L'Aubergine club, Yehya Pasha Ibrahim Street, Al-Sabtiyya, 11211, Egypt","['catering', 'catering.restaurant']",
سيموندس,Cairo,El Gabalayya,26th July Street,31.2224016,30.0596475,"Simonds, 26th July Street, Al-Sabtiyya, 11211, Egypt","['catering', 'catering.cafe']",
بلو نيل بوت,Cairo,Mohamed Mazhar,Al Moseqare Mohamed Abd Al Wahab Street,31.2286107,30.0454853,"Blue Nile Boat, Al Moseqare Mohamed Abd Al Wahab Street, Al-Sabtiyya, 12344, Egypt","['catering', 'catering.restaurant']",
بينوس كافيه,Cairo,Sixth Area,Al Doctor Hassan Ibrahim Street,31.3442363,30.0660883,"Benos Cafe, Al Doctor Hassan Ibrahim Street, Cairo, 11391, Egypt","['catering', 'catering.cafe']",
الأنوار المحمدية,Cairo,Sixth Area,Al Doctor Hassan Ibrahim Street,31.3432187,30.0660103,"Al Anwar Al Mohamadia, Al Doctor Hassan Ibrahim Street, Cairo, 11391, Egypt","['catering', 'catering.fast_food']",
أبو شقراء,Cairo,Sixth Area,Makram Abaid Street,31.3450925,30.0600951,"Abu Shakra, 48 Makram Abaid Street, Nasr City, Cairo, 11765, Egypt","['catering', 'catering.fast_food', 'catering.fast_food.kebab']",
دجاج كنتاكي,Cairo,Sixth Area,Hafez Ramadan Street,31.3446441,30.0679657,"KFC, Hafez Ramadan Street, Cairo, 11391, Egypt","['catering', 'catering.fast_food']",
Hardee's,Cairo,Sixth Area,Hafez Ramadan Street,31.3446134,30.0680454,"Hardees, Hafez Ramadan Street, Cairo, 11391, Egypt","['catering', 'catering.fast_food', 'catering.fast_food.burger']",
Pizza Hut,Cairo,Sixth Area,Hafez Ramadan Street,31.3447016,30.0680188,"Pizza Hut, Hafez Ramadan Street, Cairo, 11391, Egypt","['catering', 'catering.restaurant', 'catering.restaurant.pizza']",
Papa John's,Cairo,Sixth Area,Makram Abaid Street,31.3445034,30.0686265,"Papa John's, Makram Abaid Street, Nasr City, Cairo, 11391, Egypt","['catering', 'catering.fast_food', 'catering.fast_food.pizza']",
راسب بري,Cairo,Sixth Area,Hafez Ramadan Street,31.3474407,30.0682988,"Raspberry, Hafez Ramadan Street, Cairo, 11391, Egypt","['catering', 'catering.restaurant', 'catering.restaurant.american']",
أبو أحمد,Cairo,Al Manteqah Al Oula,Al Mouayed Street,31.3333734,30.0652188,"Abu Ahmed, Al Mouayed Street, Cairo, 11371, Egypt","['catering', 'catering.fast_food']",
التحرير,Cairo,El Dawadin,Youssef Al Gendy Street,31.2383319,30.0444917,"El Tahrir, Youssef Al Gendy Street, Bab al Luq, Cairo, 11513, Egypt","['catering', 'catering.fast_food', 'kosher']",
كافتريا نعمة,Giza,Al Adib Naguib Maahfouz Street,31.2167253,30.0516814,"Cafeteria Nema, Al Adib Naguib Maahfouz Street, El Agouza, Giza, 12411, Egypt","['catering', 'catering.fast_food']",,
مطعم و مقهى شرقي,Cairo,Al Anwar and Eshash Al Baroud,Hassn Al Anwar Al Qebly Street,31.2306199,30.0081137,"Oriental Restaurant & Caffe, 38 Hassn Al Anwar Al Qebly Street, Masr Al-Qadima, Cairo, 11632, Egypt","['catering', 'catering.cafe']",
تيكا,Cairo,Group 27,Side Abou Khalifa Al Noaaman Street,31.4901515,30.0589969,"Tikka, Side Abou Khalifa Al Noaaman Street, Cairo, 11841, Egypt","['catering', 'catering.fast_food']",
هرديز,Cairo,Group 27,Side Abou Khalifa Al Noaaman Street,31.4901351,30.0590782,"Hardee's, Side Abou Khalifa Al Noaaman Street, Cairo, 11841, Egypt","['catering', 'catering.fast_food', 'catering.fast_food.burger']",
كي أف سي,Cairo,Al Manteqah Al Oula,Ibn Hany Al Andalosi Street,31.3259535,30.0626428,"KFC, Ibn Hany Al Andalosi Street, Nasr City, Cairo, 11371, Egypt","['catering', 'catering.restaurant']",
Chili's,Cairo,Al Ismalia,6th October Bridge,31.2284666,30.0484834,"Chili's, 6th October Bridge, Al-Azbakeya, Cairo, 12344, Egypt","['catering', 'catering.restaurant', 'catering.restaurant.tex-mex']",
استديو مصر,Cairo,Mohamed Mazhar,Al Moseqare Mohamed Abd Al Wahab Street,31.2285071,30.0480323,"Studio Misr, Al Moseqare Mohamed Abd Al Wahab Street, Al-Sabtiyya, 12344, Egypt","['catering', 'catering.restaurant', 'catering.restaurant.barbecue']",
Black Rock Stone Grill,Cairo,El Gabalayya,Baha' Al Din Qaraqosh Street,31.21928136,30.0574889,"Black Rock Stone Grill, Baha' Al Din Qaraqosh Street, Al-Sabtiyya, 11211, Egypt","['building', 'building.catering', 'catering', 'catering.restaurant']",[]
Gringos,Cairo,Masaken Nerco,Street 231,31.2767621,29.9626884,"Gringos, Street 231, Cairo, 11431, Egypt","['catering', 'catering.fast_food']",
فويغو,Cairo,El Maadi El Gadida,Extension Palestine Street,31.2848945,29.9780656,"Fuego, Extension Palestine Street, Cairo, 11742, Egypt","['catering', 'catering.restaurant']",
Mo'men,Eastern,MC 2,Abou Bakr Al Sedik Street,31.7461135,30.2903941,"Mo'men, Abou Bakr Al Sedik Street, 8, 10th of Ramadan, 44629, Egypt","['catering', 'catering.fast_food', 'catering.fast_food.sandwich']",
المالكى,Giza,Central Residential Area,Al Markazy Axis,30.9414649,29.9738561,"Al malki, Al Markazy Axis, 8th District, 6th of October, 12591, Egypt","['catering', 'catering.restaurant', 'catering.restaurant.regional']",
Cock Door,Giza,Central Residential Area,Al Markazy Axis,30.9414017,29.9739365,"Cock Door, Al Markazy Axis, 8th District, 6th of October, 12591, Egypt","['catering', 'catering.fast_food']",[]
Imperial Boat,Cairo,Mohamed Mazhar,Al Moseqare Mohamed Abd Al Wahab Street,31.22751669,30.053022,"Imperial Boat, Al Moseqare Mohamed Abd Al Wahab Street, Al-Sabtiyya, 12344, Egypt","['catering', 'catering.restaurant']",[]
فددروكرز,Cairo,El Maadi El Gadida,Al Borg Street,31.2759571,29.9728463,"Fuddruckers, Al Borg Street, Cairo, 11634, Egypt","['catering', 'catering.fast_food']",
تيكا,Cairo,Othman Ahmed Othman Buildings,Abbas Al Aqad Street,31.3364148,30.0664466,"Tikka, 9;15B Abbas Al Aqad Street, Nasr City, Cairo, 11765, Egypt","['catering', 'catering.fast_food']",
دجاج كنتاكي,Cairo,Othman Ahmed Othman Buildings,Abbas Al Aqad Street,31.3363949,30.0665298,"KFC, 9;15B Abbas Al Aqad Street, Nasr City, Cairo, 11765, Egypt","['catering', 'catering.fast_food']",
Pizza Hut,Cairo,Othman Ahmed Othman Buildings,Abbas Al Aqad Street,31.3364074,30.0664872,"Pizza Hut, 9;15B Abbas Al Aqad Street, Nasr City, Cairo, 11765, Egypt","['catering', 'catering.restaurant', 'catering.restaurant.pizza']",
مؤمن,Cairo,East Al Manial,Hefny Al Trazy Street,31.2251646,30.0174572,"Momen, Hefny Al Trazy Street, Al Manyal, Cairo, 11553, Egypt","['catering', 'catering.fast_food']",
لارين,Cairo,West Al Manial,Abd Al Aziz Al Seoud Street,31.2231476,30.0214471,"La Riene, Abd Al Aziz Al Seoud Street, Al Manyal, Cairo, 11555, Egypt","['catering', 'catering.restaurant']",
Atlantis,Cairo,West Al Manial,Abd Al Aziz Al Seoud Street,31.2225413,30.0188759,"Atlantis, Abd Al Aziz Al Seoud Street, Al Manyal, Cairo, 11555, Egypt","['catering', 'catering.restaurant', 'catering.restaurant.seafood']",
كي أف سي - بيزا هت,Cairo,West Al Manial,Abd Al Rahman Al Barqoqy Street,31.2235392,30.0161102,"KFC - Pizza Hut, Abd Al Rahman Al Barqoqy Street, Al Manyal, Cairo, 11451, Egypt","['catering', 'catering.fast_food']",
ماكدونالدز,Cairo,West Al Manial,Al Manial Street,31.2250577,30.018489,"McDonald's, Al Manial Street, Al Manyal, Cairo, 11555, Egypt","['catering', 'catering.fast_food', 'catering.fast_food.burger']",
نيل بيكينغ,Cairo,Al Khokha and Al Qanaya,Kornish Al Nil Street,31.2258526,30.0067784,"Nile Peking, Kornish Al Nil Street, Masr Al-Qadima, Cairo, 11632, Egypt","['catering', 'catering.restaurant']",
كي أف سي,Cairo,West Al Manial,Al Manial Street,31.2264578,30.0280616,"KFC, Al Manial Street, Al Manyal, Cairo, 11555, Egypt","['catering', 'catering.fast_food']",
تي جي أي أف,Cairo,Torah Al Asmant,Kornish Al Nil Street,31.2523869,29.9556968,"TGIF, Kornish Al Nil Street, Al-Maasara, Cairo, 11917, Egypt","['catering', 'catering.restaurant']",
زهرة الشام,Cairo,East Al Manial,Al Manial Street,31.2260366,30.0229518,"Zahret el Sham, Al Manial Street, Al Manyal, Cairo, 11555, Egypt","['catering', 'catering.restaurant']",
كشري أبو طارق,Cairo,Maarouf,Champollion Street,31.23773121,30.0502517,"Koshary Abou Tarek, 40 Champollion Street, Al-Azbakeya, Cairo, 11956, Egypt","['building', 'building.catering', 'catering', 'catering.restaurant', 'catering.restaurant.regional']",
بطاطس اند زلابيا,Cairo,Maarouf,Champollion Street,31.2378983,30.0503607,"بطاطس اند زلابيا, 42 Champollion Street, Al-Azbakeya, Cairo, 11519, Egypt","['building', 'building.catering', 'catering', 'catering.fast_food']",
koshari Tahrir,Cairo,Bab El Louk,Abd Al Khaleq Tahrwat Street,31.24050119,30.05022675,"koshari Tahrir, 17 Abd Al Khaleq Tahrwat Street, Abdin, Cairo, 11513, Egypt","['building', 'building.catering', 'catering', 'catering.fast_food']",[]
مطعم الجمهورية,Cairo,Bab El Louk,Al Falaky Street,31.23984204,30.0455797,"Al Gomhouriya, Al Falaky Street, Bab al Luq, Cairo, 11513, Egypt","['building', 'building.catering', 'catering', 'catering.restaurant']",
بابا عبدو,Cairo,Bab El Louk,Al Borsa Al Gadida Street,31.24036145,30.04880925,"Baba Abdou, 3 Al Borsa Al Gadida Street, Abdin, Cairo, 11513, Egypt","['building', 'building.catering', 'catering', 'catering.fast_food']",
McDonald's,Cairo,El Gabalayya,Al Gezira Street,31.22317426,30.0528326,"McDonald's, Al Gezira Street, Boulak, 11211, Egypt","['building', 'building.catering', 'catering', 'catering.fast_food', 'catering.fast_food.burger']",
Abu Khaled,Cairo,Maarouf,Champollion Street,31.2374581,30.04943875,"Abu Khaled, 13 Champollion Street, Al-Azbakeya, Cairo, 11519, Egypt","['building', 'building.catering', 'catering', 'catering.restaurant']",[]
omkalsoum cafe,Cairo,Orabi Al Tawfikeya,Saria Al Azbakeya Street,31.24318973,30.0532791,"omkalsoum cafe, 2 Saria Al Azbakeya Street, Al-Azbakeya, Cairo, 11574, Egypt","['building', 'building.catering', 'catering', 'catering.cafe']",[]
مطعم القلعة,Cairo,Bab El Wazir and Al Gharib,Royal Palm Promenade,31.26601165,30.04236985,"Citadel View Restaurant, Royal Palm Promenade, El-Darb El-Ahmar, Cairo, 11261, Egypt","['building', 'building.catering', 'catering', 'catering.restaurant']",
مشروع شارع مصر,Giza,Central Residential Area,Side Al Markazy Axis,30.91636045,29.9570732,"مشروع شارع مصر, Side Al Markazy Axis, 11th District, 6th of October, 12566, Egypt","['building', 'building.catering', 'catering', 'catering.restaurant']",
Atlantis,Cairo,West Al Manial,Abd Al Aziz Al Seoud Street,31.22246505,30.01894785,"Atlantis, Abd Al Aziz Al Seoud Street, Al Manyal, Cairo, 11555, Egypt","['building', 'building.catering', 'catering', 'catering.restaurant', 'internet_access']",
توتي كافيه,Giza,Area P,Al Wahat Road,31.0600387,29.9599404,"Tuti Cafe, Al Wahat Road, Al-Ashgar Suburb, Ash Sheikh Zayed, 12587, Egypt","['catering', 'catering.cafe']",
دار القمر,Cairo,El Maadi El Gadida,Al Nasr Street,31.278511,29.9749866,"Dar Alqamar, Al Nasr Street, Cairo, 11742, Egypt","['catering', 'catering.restaurant']",
تشيليز,Giza,District 1,Al Nozha Street,31.0206271,30.0296805,"Chili's, Al Nozha Street, Belleville, 12593, Egypt","['catering', 'catering.restaurant']",
Salimos,Cairo,El Maadi El Gadida,Street 270,31.2800721,29.9819608,"Salimos, Street 270, Cairo, 11742, Egypt","['catering', 'catering.restaurant']",[]
On the Run,Giza,Tourist Village 6,Side 26th of July Axis,30.9802841,30.0064726,"On the Run, Side 26th of July Axis, 7th District, 6th of October, 12568, Egypt","['catering', 'catering.cafe']",
سباي سباي,Cairo,Mohamed Mazhar,Aziz Abaza Street,31.2240513,30.06233355,"Sabai Sabai, 15 Aziz Abaza Street, Al-Sabtiyya, 11568, Egypt","['building', 'building.catering', 'catering', 'catering.restaurant']",
Cinnabon,Cairo,Bab El Louk,Sherif Pasha Street,31.24262964,30.0497179,"Cinnabon, 25 Sherif Pasha Street, Abdin, Cairo, 11513, Egypt","['building', 'building.catering', 'catering', 'catering.fast_food']",
كافيتريا واحة النخيل,Cairo,Bab El Wazir and Al Gharib,Royal Palm Promenade,31.2633325,30.0383869,"Cafeteria Wahet Al-Nakheel, Royal Palm Promenade, Cairo, 11639, Egypt","['catering', 'catering.restaurant']",
لو نوتر,Cairo,Bab El Wazir and Al Gharib,Royal Palm Promenade,31.2663224,30.0424128,"Le Notre, Royal Palm Promenade, El-Darb El-Ahmar, Cairo, 11261, Egypt","['catering', 'catering.restaurant']",
تريانون كافيه,Cairo,Bab El Wazir and Al Gharib,Royal Palm Promenade,31.2637361,30.0402425,"Trianon Cafe, Royal Palm Promenade, Cairo, 11675, Egypt","['catering', 'catering.cafe']",
كنتاكي,Cairo,El Golf,Mohamed Anis Street,31.3265043,30.0838504,"Kentucky Fried Chicken, Mohamed Anis Street, Cairo, 11737, Egypt","['catering', 'catering.fast_food']",
بورتو,Cairo,Torah Al Asmant,Kornish Al Nil Street,31.23769337,29.96471135,"Porto, Kornish Al Nil Street, Al-Maasara, Cairo, 11917, Egypt","['building', 'building.catering', 'catering', 'catering.restaurant']",
هاواى,Cairo,Torah Al Asmant,Kornish Al Nil Street,31.24026908,29.9631849,"Hawaii, Kornish Al Nil Street, Al-Maasara, Cairo, 11917, Egypt","['building', 'building.catering', 'catering', 'catering.cafe']",
سبرنكلز,Cairo,Torah Al Asmant,Kornish Al Nil Street,31.2396079,29.96540265,"Sprinkles, Kornish Al Nil Street, Al-Maasara, Cairo, 11917, Egypt","['building', 'building.catering', 'catering', 'catering.restaurant']",
افندينا,Cairo,Torah Al Asmant,Kornish Al Nil Street,31.24015971,29.964876,"Afandina, Kornish Al Nil Street, Al-Maasara, Cairo, 11917, Egypt","['building', 'building.catering', 'catering', 'catering.restaurant']",
موكا تشينو,Cairo,Torah Al Asmant,Kornish Al Nil Street,31.24076567,29.96505595,"Mocha Chino, Kornish Al Nil Street, Al-Maasara, Cairo, 11917, Egypt","['building', 'building.catering', 'catering', 'catering.restaurant']",
سبورت,Cairo,Torah Al Asmant,Kornish Al Nil Street,31.23729564,29.9654356,"Sport, Kornish Al Nil Street, Al-Maasara, Cairo, 11917, Egypt","['building', 'building.catering', 'catering', 'catering.restaurant']",
المطعم الريفى,Cairo,Torah Al Asmant,Kornish Al Nil Street,31.23904301,29.9656111,"El Rifi Restaurant, Kornish Al Nil Street, Al-Maasara, Cairo, 11917, Egypt","['building', 'building.catering', 'catering', 'catering.restaurant']",
ايطاليانو,Cairo,Torah Al Asmant,Kornish Al Nil Street,31.23858379,29.96394665,"Italiano, Kornish Al Nil Street, Al-Maasara, Cairo, 11917, Egypt","['building', 'building.catering', 'catering', 'catering.restaurant']",
المطعم الايطالى,Cairo,Torah Al Asmant,Kornish Al Nil Street,31.23827644,29.96436185,"Italian Restaurant, Kornish Al Nil Street, Al-Maasara, Cairo, 11917, Egypt","['building', 'building.catering', 'catering', 'catering.restaurant']",
افندينا,Cairo,Torah Al Asmant,Kornish Al Nil Street,31.24009187,29.9650019,"Afandina, Kornish Al Nil Street, Al-Maasara, Cairo, 11917, Egypt","['building', 'building.catering', 'catering', 'catering.restaurant']",
مطعم البرنس,Cairo,Bab El Louk,Al Elwy Street,31.2414334,30.0469148,"Prince Restaurant, Al Elwy Street, Bab al Luq, Cairo, 42801, Egypt","['catering', 'catering.restaurant', 'catering.restaurant.kebab']",
spectra,Cairo,Sixth Area,Mohamed Hussein Heikal Street,31.3388459,30.0581007,"spectra, Mohamed Hussein Heikal Street, Nasr City, Cairo, 11765, Egypt","['catering', 'catering.restaurant']",[]
KFC,Cairo,Sixth Area,Hassn Al Gazzar Street,31.3557797,30.0688081,"KFC, Hassn Al Gazzar Street, Cairo, 11391, Egypt","['catering', 'catering.fast_food']",
Costa Cafe,Cairo,Sixth Area,Hassn Al Gazzar Street,31.355678,30.0688572,"Costa Cafe, Hassn Al Gazzar Street, Cairo, 11391, Egypt","['catering', 'catering.cafe', 'catering.cafe.coffee', 'catering.cafe.coffee_shop']",
Cilantro,Cairo,El Dawadin,Mohamed Mahmoud Street,31.2372471,30.0436079,"Cilantro, Mohamed Mahmoud Street, Bab al Luq, Cairo, 11513, Egypt","['catering', 'catering.cafe', 'catering.cafe.coffee', 'catering.cafe.coffee_shop', 'internet_access', 'internet_access.free']",
فلافل نعمة,Giza,Neighborhood 1,Street 10,30.9190928,29.9491167,"Nema fast foods, Street 10, 5th district, 6th of October, 12566, Egypt","['catering', 'catering.fast_food']",
Kunst Gallery and Cafe,Cairo,Bab El Louk,Sherif Pasha Street,31.2420145,30.0499139,"Kunst Gallery and Cafe, 28 Sherif Pasha Street, Abdin, Cairo, 11513, Egypt","['catering', 'catering.cafe']",[]
Cook Door,Suez,"Suez, Ain Sokhna Road",32.3410469,29.6948382,"Cook Door, Suez, Ain Sokhna Road, New Suez, Egypt","['catering', 'catering.fast_food']",[],
Al-Dawar Cafe,Giza,Mahmoud Eissa Street,31.1827293,30.0575892,"Al-Dawar Cafe, Mahmoud Eissa Street, Meet Oqba, Giza, 12827, Egypt","['catering', 'catering.cafe']",,
fruit palace,Giza,Al Metemedeya Street,31.1856637,30.0533427,"fruit palace, Al Metemedeya Street, Meet Oqba, Giza, 12827, Egypt","['catering', 'catering.fast_food']",,
Retro,Giza,Suliman Abaza Street,31.2034331,30.0486883,"Retro, Suliman Abaza Street, El Mohandesin, Giza, 12615, Egypt","['catering', 'catering.restaurant']",[],
مطعم جاد,Giza,District 1,Al Markazy Axis,30.9463895,29.973968,"Gad Fast Food, Al Markazy Axis, 1st District, 6th of October, 12591, Egypt","['catering', 'catering.fast_food']",
كشري التحرير,Giza,District 1,Al Markazy Axis,30.9459817,29.9736677,"Koshary Al-Tahrir, Al Markazy Axis, 1st District, 6th of October, 12591, Egypt","['catering', 'catering.restaurant', 'catering.restaurant.regional']",
Spectra,Giza,Central Residential Area,Side Al Markazy Axis,30.9181924,29.9587929,"Spectra, Side Al Markazy Axis, 11th District, 6th of October, 12566, Egypt","['catering', 'catering.restaurant', 'catering.restaurant.international']",
Pizza Hut,Giza,District 2,Al Markazy Axis,30.9443932,29.9717459,"Pizza Hut, Al Markazy Axis, 3rd District, 6th of October, 12596, Egypt","['catering', 'catering.restaurant', 'catering.restaurant.pizza']",
دجاج كنتاكي,Giza,District 2,Al Markazy Axis,30.9444472,29.9717749,"KFC, Al Markazy Axis, 3rd District, 6th of October, 12596, Egypt","['catering', 'catering.fast_food']",
ماكدونالدز,Giza,District 2,Al Markazy Axis,30.9441102,29.9715928,"McDonald's, Al Markazy Axis, 3rd District, 6th of October, 12596, Egypt","['catering', 'catering.fast_food', 'catering.fast_food.burger']",
Cilantro,Giza,Al Markazy Axis,30.9449725,29.9761131,"Cilantro, Al Markazy Axis, 7th District, 6th of October, 12591, Egypt","['catering', 'catering.cafe', 'catering.cafe.coffee', 'catering.cafe.coffee_shop']",,
ماكدونالدز,Giza,Mohy Al Din Abou Al Ezz Street,31.2004126,30.0425216,"McDonald's, Mohy Al Din Abou Al Ezz Street, El Mohandesin, Giza, 12615, Egypt","['catering', 'catering.fast_food', 'catering.fast_food.burger']",,
ستاربكس,Giza,Abou Bakr Al Sedik Street,31.1977975,30.0426864,"Starbucks, Abou Bakr Al Sedik Street, El Mohandesin, Giza, 12615, Egypt","['catering', 'catering.cafe', 'catering.cafe.coffee', 'catering.cafe.coffee_shop']",,
صافو,Giza,Al Batal Adnan Omar Sedki Street,31.203448,30.0387748,"Safo, Al Batal Adnan Omar Sedki Street, Been Al-Sarayat, Giza, 12615, Egypt","['catering', 'catering.fast_food']",,
Costa,Giza,Masdaq Street,31.2057313,30.0397215,"Costa, Masdaq Street, Dokki, Giza, 12311, Egypt","['catering', 'catering.cafe', 'catering.cafe.coffee', 'catering.cafe.coffee_shop']",,
Peking,Giza,Al Atba' Street,31.1986184,30.0468447,"Peking, Al Atba' Street, El Mohandesin, Giza, 12615, Egypt","['catering', 'catering.restaurant', 'catering.restaurant.chinese']",,
Pangea,Giza,Oman Square,31.2026525,30.0412816,"Pangea, Oman Square, Been Al-Sarayat, Giza, 12615, Egypt","['catering', 'catering.restaurant']",[],
Sugar Rush,Giza,Oman Square,31.202631,30.0407336,"Sugar Rush, Oman Square, Been Al-Sarayat, Giza, 12615, Egypt","['catering', 'catering.cafe']",[],
Giza,Al Batal Adnan Omar Sedki Street,31.2029163,30.04066835,"Al Batal Adnan Omar Sedki Street, Been Al-Sarayat, Giza, 12615, Egypt",Purple,"['catering', 'catering.cafe']",[],
Dunkin',Cairo,Street 9,31.2617692,29.9552262,"Dunkin', Street 9, Ma‘di Al Khahiri, Cairo, 11431, Egypt","['catering', 'catering.fast_food']",,
Mugshot,Cairo,Street 9,31.262932,29.9537732,"Mugshot, Street 9, Ma‘di Al Khahiri, Cairo, 11431, Egypt","['catering', 'catering.cafe', 'internet_access', 'internet_access.free']",,
Auntie Loulou,Cairo,Street 9,31.2633854,29.9536455,"Auntie Loulou, 47 Street 9, Ma‘di Al Khahiri, Cairo, 11728, Egypt","['catering', 'catering.cafe', 'catering.cafe.ice_cream', 'catering.ice_cream']",,
Bikya - Second hand books and coffee,Cairo,Street 85,31.2632333,29.9542976,"Bikya - Second hand books and coffee, 40 Street 85, Cairo, 11431, Egypt","['catering', 'catering.cafe']",[],
Movenpick Waffle Shop,Cairo,Street 9,31.2635856,29.9534755,"Movenpick Waffle Shop, 45 Street 9, Ma‘di Al Khahiri, Cairo, 11431, Egypt","['catering', 'catering.cafe', 'catering.cafe.ice_cream', 'catering.ice_cream']",,
Ma Tigoo Hookah Lounge,Cairo,Street 9,31.2635524,29.9535112,"Ma Tigoo Hookah Lounge, 45 Street 9, Ma‘di Al Khahiri, Cairo, 11431, Egypt","['catering', 'catering.cafe']",[],
Marny's,Cairo,Masaken Nerco,Street 213,31.27675,29.960352,"Marny's, Street 213, Cairo, 11431, Egypt","['catering', 'catering.cafe']",
Brazilian Coffee Stores,Cairo,Street 9,31.2621844,29.954672,"Brazilian Coffee Stores, Street 9, Ma‘di Al Khahiri, Cairo, 11431, Egypt","['catering', 'catering.cafe']",[],
Pizza Hut,Cairo,Street 9,31.260742,29.9570981,"Pizza Hut, 75 Street 9, Ma‘di Al Khahiri, Cairo, 11728, Egypt","['catering', 'catering.restaurant', 'catering.restaurant.pizza']",,
Angelica Desert Bar,Cairo,Street 9,31.26006,29.958034,"Angelica Desert Bar, Street 9, Ma‘di Al Khahiri, Cairo, 11728, Egypt","['catering', 'catering.restaurant']",,
Mermaid,Cairo,Street 9,31.2600911,29.9579783,"Mermaid, Street 9, Ma‘di Al Khahiri, Cairo, 11728, Egypt","['catering', 'catering.restaurant']",[],
Belgaufra Belgian Waffles,Cairo,Street 9,31.2597509,29.95807,"Belgaufra Belgian Waffles, 82 Street 9, Ma‘di Al Khahiri, Cairo, 11728, Egypt","['catering', 'catering.restaurant']",,
Crumbs cupcakes & more,Cairo,Street 9,31.2597821,29.958034,"Crumbs cupcakes & more, 82 Street 9, Ma‘di Al Khahiri, Cairo, 11728, Egypt","['catering', 'catering.cafe', 'commercial', 'commercial.food_and_drink', 'commercial.food_and_drink.confectionery', 'internet_access', 'internet_access.free']",,
Cinnabon,Cairo,Street 9,31.2595207,29.9583378,"Cinnabon, 84 Street 9, Ma‘di Al Khahiri, Cairo, 11728, Egypt","['catering', 'catering.fast_food']",,
